x23,x25,x4,x5,x13,x15,x30,x17,x18,x24,x27,x28,x29,x40,y
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.834176001,0
-0.982123919,-4.332427479,1.316959555,1.453105276,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.40776512,1
-0.982123919,-4.332427479,0.053015617,0.23193323,0,0,0,1,-2.577166348,-6.098317816,0,1,0,-0.380454566,0
-0.982123919,-4.332427479,-0.47985335,-0.406984338,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-1.055304077,0
-0.982123919,-4.332427479,-0.009388811,0.155833711,0,0,1,1,-2.577166348,-6.098317816,0,0,0,0.55285126,1
-0.982123919,-4.332427479,1.311265847,0.287739733,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.998978924,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-1.060268066,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,1,0,-0.720701168,0
-0.982123919,-4.332427479,0.540009612,0.835785198,0,0,0,1,-2.577166348,-6.098317816,0,1,0,-0.834257231,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.834181412,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.99880804,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.077626117,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.921280742,1
-0.982123919,-4.332427479,0.551358452,0.850053329,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-1.046157687,0
-0.982123919,-4.332427479,1.431049711,0.43377322,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-1.060573611,1
-0.982123919,-4.332427479,-0.009388811,-0.058192552,0,0,0,1,-2.577166348,-6.098317816,0,0,1,-0.994634509,1
-0.982123919,-4.332427479,0.011983444,-0.382438978,0,0,0,1,-2.577166348,-6.098317816,0,0,0,1.426017407,0
-0.982123919,-4.332427479,0.562576434,0.864165177,0,0,0,1,-2.577166348,-6.098317816,1,0,0,0.934634626,1
-0.982123919,-4.332427479,1.311265847,0.318025523,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.999035861,0
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.92495084,0
-0.982123919,-4.332427479,1.311265847,0.221625669,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.834250527,1
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-1.060665147,0
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,1,1,-2.577166348,-6.098317816,0,0,0,-0.924939558,1
-0.982123919,-4.332427479,-1.725155356,-1.750818498,0,0,0,1,-2.577166348,-6.098317816,0,1,0,1.005197532,0
-0.982123919,-4.332427479,1.311265847,0.314203396,0,0,0,1,-2.577166348,-6.098317816,0,0,0,-0.924567151,0
